Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Nov 2025,SEN,19573989,,Keur massar,current,2025-10-01,2025-12-31,2,89635,0.11
Nov 2025,SEN,19573989,,Keur massar,current,2025-10-01,2025-12-31,3,8149,0.01
Nov 2025,SEN,19573989,,Keur massar,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Keur massar,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Keur massar,first projection,2026-06-01,2026-08-31,all,814863,1.0
Nov 2025,SEN,19573989,,Keur massar,first projection,2026-06-01,2026-08-31,3+,16297,0.02
Nov 2025,SEN,19573989,,Keur massar,first projection,2026-06-01,2026-08-31,1,700782,0.86
Nov 2025,SEN,19573989,,Keur massar,first projection,2026-06-01,2026-08-31,2,97784,0.12
Nov 2025,SEN,19573989,,Keur massar,first projection,2026-06-01,2026-08-31,3,16297,0.02
Nov 2025,SEN,19573989,,Keur massar,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Keur massar,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Bounkiling,current,2025-10-01,2025-12-31,all,227236,1.0
Nov 2025,SEN,19573989,,Bounkiling,current,2025-10-01,2025-12-31,3+,4545,0.02
Nov 2025,SEN,19573989,,Bounkiling,current,2025-10-01,2025-12-31,1,193151,0.85
Nov 2025,SEN,19573989,,Bounkiling,current,2025-10-01,2025-12-31,2,29541,0.13
Nov 2025,SEN,19573989,,Bounkiling,current,2025-10-01,2025-12-31,3,4545,0.02
Nov 2025,SEN,19573989,,Bounkiling,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Bounkiling,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Bounkiling,first projection,2026-06-01,2026-08-31,all,227236,1.0
Nov 2025,SEN,19573989,,Bounkiling,first projection,2026-06-01,2026-08-31,3+,9089,0.04
Nov 2025,SEN,19573989,,Bounkiling,first projection,2026-06-01,2026-08-31,1,170427,0.75
Nov 2025,SEN,19573989,,Bounkiling,first projection,2026-06-01,2026-08-31,2,47720,0.21
Nov 2025,SEN,19573989,,Bounkiling,first projection,2026-06-01,2026-08-31,3,9089,0.04
Nov 2025,SEN,19573989,,Bounkiling,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Bounkiling,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Velingara,current,2025-10-01,2025-12-31,all,442205,1.0
Nov 2025,SEN,19573989,,Velingara,current,2025-10-01,2025-12-31,3+,8844,0.02
Nov 2025,SEN,19573989,,Velingara,current,2025-10-01,2025-12-31,1,389140,0.88
Nov 2025,SEN,19573989,,Velingara,current,2025-10-01,2025-12-31,2,44221,0.1
Nov 2025,SEN,19573989,,Velingara,current,2025-10-01,2025-12-31,3,8844,0.02
Nov 2025,SEN,19573989,,Velingara,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Velingara,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Velingara,first projection,2026-06-01,2026-08-31,all,442205,1.0
Nov 2025,SEN,19573989,,Velingara,first projection,2026-06-01,2026-08-31,3+,17688,0.04
Nov 2025,SEN,19573989,,Velingara,first projection,2026-06-01,2026-08-31,1,362608,0.82
Nov 2025,SEN,19573989,,Velingara,first projection,2026-06-01,2026-08-31,2,61909,0.14
Nov 2025,SEN,19573989,,Velingara,first projection,2026-06-01,2026-08-31,3,17688,0.04
Nov 2025,SEN,19573989,,Velingara,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Velingara,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Guediawaye,current,2025-10-01,2025-12-31,all,394263,1.0
Nov 2025,SEN,19573989,,Guediawaye,current,2025-10-01,2025-12-31,3+,3943,0.01
Nov 2025,SEN,19573989,,Guediawaye,current,2025-10-01,2025-12-31,1,346951,0.88
Nov 2025,SEN,19573989,,Guediawaye,current,2025-10-01,2025-12-31,2,43369,0.11
Nov 2025,SEN,19573989,,Guediawaye,current,2025-10-01,2025-12-31,3,3943,0.01
Nov 2025,SEN,19573989,,Guediawaye,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Guediawaye,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Guediawaye,first projection,2026-06-01,2026-08-31,all,394263,1.0
Nov 2025,SEN,19573989,,Guediawaye,first projection,2026-06-01,2026-08-31,3+,7885,0.02
Nov 2025,SEN,19573989,,Guediawaye,first projection,2026-06-01,2026-08-31,1,331181,0.84
Nov 2025,SEN,19573989,,Guediawaye,first projection,2026-06-01,2026-08-31,2,55197,0.14
Nov 2025,SEN,19573989,,Guediawaye,first projection,2026-06-01,2026-08-31,3,7885,0.02
Nov 2025,SEN,19573989,,Guediawaye,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Guediawaye,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Kedougou,current,2025-10-01,2025-12-31,all,135193,1.0
Nov 2025,SEN,19573989,,Kedougou,current,2025-10-01,2025-12-31,3+,4056,0.03
Nov 2025,SEN,19573989,,Kedougou,current,2025-10-01,2025-12-31,1,87875,0.65
Nov 2025,SEN,19573989,,Kedougou,current,2025-10-01,2025-12-31,2,43262,0.32
Nov 2025,SEN,19573989,,Kedougou,current,2025-10-01,2025-12-31,3,4056,0.03
Nov 2025,SEN,19573989,,Kedougou,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Kedougou,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Kedougou,first projection,2026-06-01,2026-08-31,all,135193,1.0
Nov 2025,SEN,19573989,,Kedougou,first projection,2026-06-01,2026-08-31,3+,6760,0.05
Nov 2025,SEN,19573989,,Kedougou,first projection,2026-06-01,2026-08-31,1,67597,0.5
Nov 2025,SEN,19573989,,Kedougou,first projection,2026-06-01,2026-08-31,2,60837,0.45
Nov 2025,SEN,19573989,,Kedougou,first projection,2026-06-01,2026-08-31,3,6760,0.05
Nov 2025,SEN,19573989,,Kedougou,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Kedougou,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Bakel,current,2025-10-01,2025-12-31,all,207884,1.0
Nov 2025,SEN,19573989,,Bakel,current,2025-10-01,2025-12-31,3+,4158,0.02
Nov 2025,SEN,19573989,,Bakel,current,2025-10-01,2025-12-31,1,191253,0.92
Nov 2025,SEN,19573989,,Bakel,current,2025-10-01,2025-12-31,2,12473,0.06
Nov 2025,SEN,19573989,,Bakel,current,2025-10-01,2025-12-31,3,4158,0.02
Nov 2025,SEN,19573989,,Bakel,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Bakel,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Bakel,first projection,2026-06-01,2026-08-31,all,207884,1.0
Nov 2025,SEN,19573989,,Bakel,first projection,2026-06-01,2026-08-31,3+,6237,0.03
Nov 2025,SEN,19573989,,Bakel,first projection,2026-06-01,2026-08-31,1,185017,0.89
Nov 2025,SEN,19573989,,Bakel,first projection,2026-06-01,2026-08-31,2,16631,0.08
Nov 2025,SEN,19573989,,Bakel,first projection,2026-06-01,2026-08-31,3,6237,0.03
Nov 2025,SEN,19573989,,Bakel,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Bakel,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Mbour,current,2025-10-01,2025-12-31,all,1015214,1.0
Nov 2025,SEN,19573989,,Mbour,current,2025-10-01,2025-12-31,3+,10152,0.01
Nov 2025,SEN,19573989,,Mbour,current,2025-10-01,2025-12-31,1,852780,0.84
Nov 2025,SEN,19573989,,Mbour,current,2025-10-01,2025-12-31,2,152282,0.15
Nov 2025,SEN,19573989,,Mbour,current,2025-10-01,2025-12-31,3,10152,0.01
Nov 2025,SEN,19573989,,Mbour,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Mbour,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Mbour,first projection,2026-06-01,2026-08-31,all,1015214,1.0
Nov 2025,SEN,19573989,,Mbour,first projection,2026-06-01,2026-08-31,3+,30456,0.03
Nov 2025,SEN,19573989,,Mbour,first projection,2026-06-01,2026-08-31,1,761411,0.75
Nov 2025,SEN,19573989,,Mbour,first projection,2026-06-01,2026-08-31,2,223347,0.22
Nov 2025,SEN,19573989,,Mbour,first projection,2026-06-01,2026-08-31,3,30456,0.03
Nov 2025,SEN,19573989,,Mbour,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Mbour,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Thies,current,2025-10-01,2025-12-31,all,932912,1.0
Nov 2025,SEN,19573989,,Thies,current,2025-10-01,2025-12-31,3+,18658,0.02
Nov 2025,SEN,19573989,,Thies,current,2025-10-01,2025-12-31,1,820963,0.88
Nov 2025,SEN,19573989,,Thies,current,2025-10-01,2025-12-31,2,93291,0.1
Nov 2025,SEN,19573989,,Thies,current,2025-10-01,2025-12-31,3,18658,0.02
Nov 2025,SEN,19573989,,Thies,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Thies,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Thies,first projection,2026-06-01,2026-08-31,all,932912,1.0
Nov 2025,SEN,19573989,,Thies,first projection,2026-06-01,2026-08-31,3+,27987,0.03
Nov 2025,SEN,19573989,,Thies,first projection,2026-06-01,2026-08-31,1,792975,0.85
Nov 2025,SEN,19573989,,Thies,first projection,2026-06-01,2026-08-31,2,111949,0.12
Nov 2025,SEN,19573989,,Thies,first projection,2026-06-01,2026-08-31,3,27987,0.03
Nov 2025,SEN,19573989,,Thies,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Thies,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Dagana,current,2025-10-01,2025-12-31,all,352975,1.0
Nov 2025,SEN,19573989,,Dagana,current,2025-10-01,2025-12-31,3+,0,0
Nov 2025,SEN,19573989,,Dagana,current,2025-10-01,2025-12-31,1,324737,0.92
Nov 2025,SEN,19573989,,Dagana,current,2025-10-01,2025-12-31,2,28238,0.08
Nov 2025,SEN,19573989,,Dagana,current,2025-10-01,2025-12-31,3,0,0
Nov 2025,SEN,19573989,,Dagana,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Dagana,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Dagana,first projection,2026-06-01,2026-08-31,all,352975,1.0
Nov 2025,SEN,19573989,,Dagana,first projection,2026-06-01,2026-08-31,3+,0,0
Nov 2025,SEN,19573989,,Dagana,first projection,2026-06-01,2026-08-31,1,331797,0.94
Nov 2025,SEN,19573989,,Dagana,first projection,2026-06-01,2026-08-31,2,21179,0.06
Nov 2025,SEN,19573989,,Dagana,first projection,2026-06-01,2026-08-31,3,0,0
Nov 2025,SEN,19573989,,Dagana,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Dagana,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Dakar,current,2025-10-01,2025-12-31,all,1352406,1.0
Nov 2025,SEN,19573989,,Dakar,current,2025-10-01,2025-12-31,3+,13524,0.01
Nov 2025,SEN,19573989,,Dakar,current,2025-10-01,2025-12-31,1,1217165,0.9
Nov 2025,SEN,19573989,,Dakar,current,2025-10-01,2025-12-31,2,121717,0.09
Nov 2025,SEN,19573989,,Dakar,current,2025-10-01,2025-12-31,3,13524,0.01
Nov 2025,SEN,19573989,,Dakar,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Dakar,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Dakar,first projection,2026-06-01,2026-08-31,all,1352406,1.0
Nov 2025,SEN,19573989,,Dakar,first projection,2026-06-01,2026-08-31,3+,27048,0.02
Nov 2025,SEN,19573989,,Dakar,first projection,2026-06-01,2026-08-31,1,1176593,0.87
Nov 2025,SEN,19573989,,Dakar,first projection,2026-06-01,2026-08-31,2,148765,0.11
Nov 2025,SEN,19573989,,Dakar,first projection,2026-06-01,2026-08-31,3,27048,0.02
Nov 2025,SEN,19573989,,Dakar,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Dakar,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Kebemer,current,2025-10-01,2025-12-31,all,364850,1.0
Nov 2025,SEN,19573989,,Kebemer,current,2025-10-01,2025-12-31,3+,3649,0.01
Nov 2025,SEN,19573989,,Kebemer,current,2025-10-01,2025-12-31,1,342959,0.94
Nov 2025,SEN,19573989,,Kebemer,current,2025-10-01,2025-12-31,2,18243,0.05
Nov 2025,SEN,19573989,,Kebemer,current,2025-10-01,2025-12-31,3,3649,0.01
Nov 2025,SEN,19573989,,Kebemer,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Kebemer,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Kebemer,first projection,2026-06-01,2026-08-31,all,364850,1.0
Nov 2025,SEN,19573989,,Kebemer,first projection,2026-06-01,2026-08-31,3+,7297,0.02
Nov 2025,SEN,19573989,,Kebemer,first projection,2026-06-01,2026-08-31,1,332014,0.91
Nov 2025,SEN,19573989,,Kebemer,first projection,2026-06-01,2026-08-31,2,25540,0.07
Nov 2025,SEN,19573989,,Kebemer,first projection,2026-06-01,2026-08-31,3,7297,0.02
Nov 2025,SEN,19573989,,Kebemer,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Kebemer,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Koumpentoum,current,2025-10-01,2025-12-31,all,222524,1.0
Nov 2025,SEN,19573989,,Koumpentoum,current,2025-10-01,2025-12-31,3+,13351,0.06
Nov 2025,SEN,19573989,,Koumpentoum,current,2025-10-01,2025-12-31,1,162443,0.73
Nov 2025,SEN,19573989,,Koumpentoum,current,2025-10-01,2025-12-31,2,46730,0.21
Nov 2025,SEN,19573989,,Koumpentoum,current,2025-10-01,2025-12-31,3,13351,0.06
Nov 2025,SEN,19573989,,Koumpentoum,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Koumpentoum,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Koumpentoum,first projection,2026-06-01,2026-08-31,all,222524,1.0
Nov 2025,SEN,19573989,,Koumpentoum,first projection,2026-06-01,2026-08-31,3+,17802,0.08
Nov 2025,SEN,19573989,,Koumpentoum,first projection,2026-06-01,2026-08-31,1,149091,0.67
Nov 2025,SEN,19573989,,Koumpentoum,first projection,2026-06-01,2026-08-31,2,55631,0.25
Nov 2025,SEN,19573989,,Koumpentoum,first projection,2026-06-01,2026-08-31,3,17802,0.08
Nov 2025,SEN,19573989,,Koumpentoum,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Koumpentoum,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Goudomp,current,2025-10-01,2025-12-31,all,205619,1.0
Nov 2025,SEN,19573989,,Goudomp,current,2025-10-01,2025-12-31,3+,2056,0.01
Nov 2025,SEN,19573989,,Goudomp,current,2025-10-01,2025-12-31,1,183001,0.89
Nov 2025,SEN,19573989,,Goudomp,current,2025-10-01,2025-12-31,2,20562,0.1
Nov 2025,SEN,19573989,,Goudomp,current,2025-10-01,2025-12-31,3,2056,0.01
Nov 2025,SEN,19573989,,Goudomp,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Goudomp,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Goudomp,first projection,2026-06-01,2026-08-31,all,205619,1.0
Nov 2025,SEN,19573989,,Goudomp,first projection,2026-06-01,2026-08-31,3+,4112,0.02
Nov 2025,SEN,19573989,,Goudomp,first projection,2026-06-01,2026-08-31,1,160383,0.78
Nov 2025,SEN,19573989,,Goudomp,first projection,2026-06-01,2026-08-31,2,41124,0.2
Nov 2025,SEN,19573989,,Goudomp,first projection,2026-06-01,2026-08-31,3,4112,0.02
Nov 2025,SEN,19573989,,Goudomp,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Goudomp,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Bignona,current,2025-10-01,2025-12-31,all,303864,1.0
Nov 2025,SEN,19573989,,Bignona,current,2025-10-01,2025-12-31,3+,3039,0.01
Nov 2025,SEN,19573989,,Bignona,current,2025-10-01,2025-12-31,1,273478,0.9
Nov 2025,SEN,19573989,,Bignona,current,2025-10-01,2025-12-31,2,27348,0.09
Nov 2025,SEN,19573989,,Bignona,current,2025-10-01,2025-12-31,3,3039,0.01
Nov 2025,SEN,19573989,,Bignona,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Bignona,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Bignona,first projection,2026-06-01,2026-08-31,all,303864,1.0
Nov 2025,SEN,19573989,,Bignona,first projection,2026-06-01,2026-08-31,3+,6077,0.02
Nov 2025,SEN,19573989,,Bignona,first projection,2026-06-01,2026-08-31,1,255246,0.84
Nov 2025,SEN,19573989,,Bignona,first projection,2026-06-01,2026-08-31,2,42541,0.14
Nov 2025,SEN,19573989,,Bignona,first projection,2026-06-01,2026-08-31,3,6077,0.02
Nov 2025,SEN,19573989,,Bignona,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Bignona,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Pikine,current,2025-10-01,2025-12-31,all,808816,1.0
Nov 2025,SEN,19573989,,Pikine,current,2025-10-01,2025-12-31,3+,8088,0.01
Nov 2025,SEN,19573989,,Pikine,current,2025-10-01,2025-12-31,1,719846,0.89
Nov 2025,SEN,19573989,,Pikine,current,2025-10-01,2025-12-31,2,80882,0.1
Nov 2025,SEN,19573989,,Pikine,current,2025-10-01,2025-12-31,3,8088,0.01
Nov 2025,SEN,19573989,,Pikine,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Pikine,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Pikine,first projection,2026-06-01,2026-08-31,all,808816,1.0
Nov 2025,SEN,19573989,,Pikine,first projection,2026-06-01,2026-08-31,3+,16176,0.02
Nov 2025,SEN,19573989,,Pikine,first projection,2026-06-01,2026-08-31,1,695582,0.86
Nov 2025,SEN,19573989,,Pikine,first projection,2026-06-01,2026-08-31,2,97058,0.12
Nov 2025,SEN,19573989,,Pikine,first projection,2026-06-01,2026-08-31,3,16176,0.02
Nov 2025,SEN,19573989,,Pikine,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Pikine,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Matam,current,2025-10-01,2025-12-31,all,421381,1.0
Nov 2025,SEN,19573989,,Matam,current,2025-10-01,2025-12-31,3+,42138,0.1
Nov 2025,SEN,19573989,,Matam,current,2025-10-01,2025-12-31,1,248615,0.59
Nov 2025,SEN,19573989,,Matam,current,2025-10-01,2025-12-31,2,130628,0.31
Nov 2025,SEN,19573989,,Matam,current,2025-10-01,2025-12-31,3,42138,0.1
Nov 2025,SEN,19573989,,Matam,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Matam,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Matam,first projection,2026-06-01,2026-08-31,all,421381,1.0
Nov 2025,SEN,19573989,,Matam,first projection,2026-06-01,2026-08-31,3+,50566,0.12
Nov 2025,SEN,19573989,,Matam,first projection,2026-06-01,2026-08-31,1,261256,0.62
Nov 2025,SEN,19573989,,Matam,first projection,2026-06-01,2026-08-31,2,109559,0.26
Nov 2025,SEN,19573989,,Matam,first projection,2026-06-01,2026-08-31,3,50566,0.12
Nov 2025,SEN,19573989,,Matam,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Matam,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Oussouye,current,2025-10-01,2025-12-31,all,56600,1.0
Nov 2025,SEN,19573989,,Oussouye,current,2025-10-01,2025-12-31,3+,566,0.01
Nov 2025,SEN,19573989,,Oussouye,current,2025-10-01,2025-12-31,1,50374,0.89
Nov 2025,SEN,19573989,,Oussouye,current,2025-10-01,2025-12-31,2,5660,0.1
Nov 2025,SEN,19573989,,Oussouye,current,2025-10-01,2025-12-31,3,566,0.01
Nov 2025,SEN,19573989,,Oussouye,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Oussouye,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Oussouye,first projection,2026-06-01,2026-08-31,all,56600,1.0
Nov 2025,SEN,19573989,,Oussouye,first projection,2026-06-01,2026-08-31,3+,566,0.01
Nov 2025,SEN,19573989,,Oussouye,first projection,2026-06-01,2026-08-31,1,52638,0.93
Nov 2025,SEN,19573989,,Oussouye,first projection,2026-06-01,2026-08-31,2,3396,0.06
Nov 2025,SEN,19573989,,Oussouye,first projection,2026-06-01,2026-08-31,3,566,0.01
Nov 2025,SEN,19573989,,Oussouye,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Oussouye,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Kolda,current,2025-10-01,2025-12-31,all,353843,1.0
Nov 2025,SEN,19573989,,Kolda,current,2025-10-01,2025-12-31,3+,24769,0.07
Nov 2025,SEN,19573989,,Kolda,current,2025-10-01,2025-12-31,1,268921,0.76
Nov 2025,SEN,19573989,,Kolda,current,2025-10-01,2025-12-31,2,60153,0.17
Nov 2025,SEN,19573989,,Kolda,current,2025-10-01,2025-12-31,3,24769,0.07
Nov 2025,SEN,19573989,,Kolda,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Kolda,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Kolda,first projection,2026-06-01,2026-08-31,all,353843,1.0
Nov 2025,SEN,19573989,,Kolda,first projection,2026-06-01,2026-08-31,3+,42461,0.12
Nov 2025,SEN,19573989,,Kolda,first projection,2026-06-01,2026-08-31,1,226460,0.64
Nov 2025,SEN,19573989,,Kolda,first projection,2026-06-01,2026-08-31,2,84922,0.24
Nov 2025,SEN,19573989,,Kolda,first projection,2026-06-01,2026-08-31,3,38923,0.11
Nov 2025,SEN,19573989,,Kolda,first projection,2026-06-01,2026-08-31,4,3538,0.01
Nov 2025,SEN,19573989,,Kolda,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Ziguinchor,current,2025-10-01,2025-12-31,all,291182,1.0
Nov 2025,SEN,19573989,,Ziguinchor,current,2025-10-01,2025-12-31,3+,2912,0.01
Nov 2025,SEN,19573989,,Ziguinchor,current,2025-10-01,2025-12-31,1,247505,0.85
Nov 2025,SEN,19573989,,Ziguinchor,current,2025-10-01,2025-12-31,2,40765,0.14
Nov 2025,SEN,19573989,,Ziguinchor,current,2025-10-01,2025-12-31,3,2912,0.01
Nov 2025,SEN,19573989,,Ziguinchor,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Ziguinchor,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Ziguinchor,first projection,2026-06-01,2026-08-31,all,291182,1.0
Nov 2025,SEN,19573989,,Ziguinchor,first projection,2026-06-01,2026-08-31,3+,8735,0.03
Nov 2025,SEN,19573989,,Ziguinchor,first projection,2026-06-01,2026-08-31,1,221298,0.76
Nov 2025,SEN,19573989,,Ziguinchor,first projection,2026-06-01,2026-08-31,2,61148,0.21
Nov 2025,SEN,19573989,,Ziguinchor,first projection,2026-06-01,2026-08-31,3,8735,0.03
Nov 2025,SEN,19573989,,Ziguinchor,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Ziguinchor,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Tambacounda,current,2025-10-01,2025-12-31,all,467953,1.0
Nov 2025,SEN,19573989,,Tambacounda,current,2025-10-01,2025-12-31,3+,4680,0.01
Nov 2025,SEN,19573989,,Tambacounda,current,2025-10-01,2025-12-31,1,425837,0.91
Nov 2025,SEN,19573989,,Tambacounda,current,2025-10-01,2025-12-31,2,37436,0.08
Nov 2025,SEN,19573989,,Tambacounda,current,2025-10-01,2025-12-31,3,4680,0.01
Nov 2025,SEN,19573989,,Tambacounda,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Tambacounda,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Tambacounda,first projection,2026-06-01,2026-08-31,all,467953,1.0
Nov 2025,SEN,19573989,,Tambacounda,first projection,2026-06-01,2026-08-31,3+,9359,0.02
Nov 2025,SEN,19573989,,Tambacounda,first projection,2026-06-01,2026-08-31,1,411799,0.88
Nov 2025,SEN,19573989,,Tambacounda,first projection,2026-06-01,2026-08-31,2,46795,0.1
Nov 2025,SEN,19573989,,Tambacounda,first projection,2026-06-01,2026-08-31,3,9359,0.02
Nov 2025,SEN,19573989,,Tambacounda,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Tambacounda,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Gossas,current,2025-10-01,2025-12-31,all,133927,1.0
Nov 2025,SEN,19573989,,Gossas,current,2025-10-01,2025-12-31,3+,5357,0.04
Nov 2025,SEN,19573989,,Gossas,current,2025-10-01,2025-12-31,1,112499,0.84
Nov 2025,SEN,19573989,,Gossas,current,2025-10-01,2025-12-31,2,16071,0.12
Nov 2025,SEN,19573989,,Gossas,current,2025-10-01,2025-12-31,3,5357,0.04
Nov 2025,SEN,19573989,,Gossas,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Gossas,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Gossas,first projection,2026-06-01,2026-08-31,all,133927,1.0
Nov 2025,SEN,19573989,,Gossas,first projection,2026-06-01,2026-08-31,3+,6696,0.05
Nov 2025,SEN,19573989,,Gossas,first projection,2026-06-01,2026-08-31,1,109820,0.82
Nov 2025,SEN,19573989,,Gossas,first projection,2026-06-01,2026-08-31,2,17411,0.13
Nov 2025,SEN,19573989,,Gossas,first projection,2026-06-01,2026-08-31,3,6696,0.05
Nov 2025,SEN,19573989,,Gossas,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Gossas,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Nioro du rip,current,2025-10-01,2025-12-31,all,558342,1.0
Nov 2025,SEN,19573989,,Nioro du rip,current,2025-10-01,2025-12-31,3+,0,0
Nov 2025,SEN,19573989,,Nioro du rip,current,2025-10-01,2025-12-31,1,508091,0.91
Nov 2025,SEN,19573989,,Nioro du rip,current,2025-10-01,2025-12-31,2,50251,0.09
Nov 2025,SEN,19573989,,Nioro du rip,current,2025-10-01,2025-12-31,3,0,0
Nov 2025,SEN,19573989,,Nioro du rip,current,2025-10-01,2025-12-31,4,0,0
