Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Nov 2025,SEN,19573989,,Kaolack,current,2025-10-01,2025-12-31,1,669781,0.93
Nov 2025,SEN,19573989,,Kaolack,current,2025-10-01,2025-12-31,2,50414,0.07
Nov 2025,SEN,19573989,,Kaolack,current,2025-10-01,2025-12-31,3,0,0
Nov 2025,SEN,19573989,,Kaolack,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Kaolack,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Kaolack,first projection,2026-06-01,2026-08-31,all,720195,1.0
Nov 2025,SEN,19573989,,Kaolack,first projection,2026-06-01,2026-08-31,3+,7202,0.01
Nov 2025,SEN,19573989,,Kaolack,first projection,2026-06-01,2026-08-31,1,648176,0.9
Nov 2025,SEN,19573989,,Kaolack,first projection,2026-06-01,2026-08-31,2,64818,0.09
Nov 2025,SEN,19573989,,Kaolack,first projection,2026-06-01,2026-08-31,3,7202,0.01
Nov 2025,SEN,19573989,,Kaolack,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Kaolack,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Saint louis,current,2025-10-01,2025-12-31,all,415517,1.0
Nov 2025,SEN,19573989,,Saint louis,current,2025-10-01,2025-12-31,3+,0,0
Nov 2025,SEN,19573989,,Saint louis,current,2025-10-01,2025-12-31,1,382276,0.92
Nov 2025,SEN,19573989,,Saint louis,current,2025-10-01,2025-12-31,2,33241,0.08
Nov 2025,SEN,19573989,,Saint louis,current,2025-10-01,2025-12-31,3,0,0
Nov 2025,SEN,19573989,,Saint louis,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Saint louis,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Saint louis,first projection,2026-06-01,2026-08-31,all,415517,1.0
Nov 2025,SEN,19573989,,Saint louis,first projection,2026-06-01,2026-08-31,3+,4155,0.01
Nov 2025,SEN,19573989,,Saint louis,first projection,2026-06-01,2026-08-31,1,361500,0.87
Nov 2025,SEN,19573989,,Saint louis,first projection,2026-06-01,2026-08-31,2,49862,0.12
Nov 2025,SEN,19573989,,Saint louis,first projection,2026-06-01,2026-08-31,3,4155,0.01
Nov 2025,SEN,19573989,,Saint louis,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Saint louis,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Tivaouane,current,2025-10-01,2025-12-31,all,703328,1.0
Nov 2025,SEN,19573989,,Tivaouane,current,2025-10-01,2025-12-31,3+,21100,0.03
Nov 2025,SEN,19573989,,Tivaouane,current,2025-10-01,2025-12-31,1,590796,0.84
Nov 2025,SEN,19573989,,Tivaouane,current,2025-10-01,2025-12-31,2,91433,0.13
Nov 2025,SEN,19573989,,Tivaouane,current,2025-10-01,2025-12-31,3,21100,0.03
Nov 2025,SEN,19573989,,Tivaouane,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Tivaouane,current,2025-10-01,2025-12-31,5,0,0
